模型,Test整体_MAE,Test整体_RMSE,铁矿石_MAE,铁矿石_RMSE,铁矿砂_MAE,铁矿砂_RMSE,铁矿粉_MAE,铁矿粉_RMSE,铁精矿粉_MAE,铁精矿粉_RMSE,备注
Time-LLM (iron),0.774738,1.237126,0.294555,0.491821,1.079211,1.290450,0.010182,0.150031,1.715002,2.047502,
XGBoost,0.932074,1.265705,0.668584,0.770306,0.923485,1.079147,0.405509,0.426302,1.730719,2.113853,
ARIMA,0.818956,1.152504,0.480878,0.631287,0.945010,1.138955,0.334882,0.359349,1.515055,1.867670,
LSTM,0.887969,1.654846,0.305402,0.706061,1.135579,1.577148,0.000000,0.000000,2.110895,2.822791,铁矿粉测试期全0，LSTM预测全0导致MAE/RMSE=0，属平凡结果不纳入通道对比
Prophet,0.885971,1.287781,0.455356,0.626898,1.013561,1.175101,0.360768,0.435469,1.714198,2.161024,
